"Real","Predicted","Probability"
0,0,0.173021134413757
0,0,0.00223729469075547
0,0,0.0633375196618626
0,0,0.0717879215759264
0,0,0.176370589121924
0,0,0.0318998106284186
0,0,0.038299346934733
0,0,0.0706190192483154
0,0,0.0665560110246725
0,0,0.00835001581618877
0,0,0.0655129718404235
0,0,0.057007580279856
0,0,0.00239735623620117
0,0,0.0381721970086084
0,0,0.0747087601325289
0,0,0.0696384625897316
0,0,0.11178290479827
0,0,0.00962483863876495
0,0,0.127172104128594
1,0,0.0189126524232502
0,0,0.190275427413875
0,0,0.0503516606060165
0,0,0.0585793860197619
0,0,0.0686824782387958
0,0,0.157782596765088
0,0,0.0868516356601055
0,0,0.0497934419655764
0,0,0.132618904683445
1,0,0.0869631283672956
0,0,0.301208257035694
0,0,0.0167031760800703
0,0,0.056586889501671
0,0,0.127321923478917
0,0,0.06674531002451
0,0,0.139418560770729
0,0,0.0150304966875684
0,0,0.119452640338277
1,0,0.0338649493515311
0,0,0.0228319889248637
0,0,0.0350878063901472
0,0,0.0594632664269016
0,0,0.115250305672575
0,0,0.0979159233178049
0,0,0.0603762113144289
0,0,0.0595318112262057
0,0,0.161837939652423
0,0,0.090757011370525
0,0,0.0663624663053858
0,0,0.0236215331141729
0,0,0.0642561499116928
0,0,0.0720889692010168
0,0,0.113146817606923
0,0,0.0507901196753919
0,0,0.00877996168872937
0,0,0.0362705861164084
0,0,0.0179230761976672
0,0,0.0522251657010332
0,0,0.0480465954948454
1,0,0.0588059426243875
0,0,0.137146064885438
0,0,0.0439951311506621
0,0,0.0505787260628619
1,0,0.112659815427528
0,0,0.044569326966832
0,0,0.0370354919992035
0,0,0.019979634326243
1,0,0.0400461356743087
0,0,0.0265461955161871
0,0,0.0443015167056747
0,0,0.0347420238854664
0,0,0.0675005967959056
0,0,0.0944173859701907
0,0,0.0781443876070273
0,0,0.0466134678645541
0,0,0.0183045582330072
0,0,0.0422027472918458
0,0,0.103226577919708
1,0,0.0739476491468769
0,0,0.115003255309136
0,0,0.082966970077188
0,0,0.0382143782998251
0,0,0.0501944869706912
0,0,0.0336762356269495
0,0,0.0140449027848046
1,0,0.0529622404038907
0,0,0.020771036782457
0,0,0.0156125961095645
1,0,0.0459970459445154
0,0,0.0155113623185335
0,0,0.0255000036602343
0,0,0.0570698228570734
1,0,0.0954628037238836
0,0,0.0703583528896316
0,0,0.0494776807110643
0,0,0.0191196367110888
0,0,0.0491561745649517
0,0,0.113803892156136
0,0,0.0510082925377312
0,0,0.02597224752139
1,0,0.106147397970458
1,0,0.0562815743874199
0,0,0.062403847210406
0,0,0.0234672066913901
0,0,0.0506705164574709
0,0,0.109433415761471
0,0,0.0134730526369205
0,0,0.0423313103833996
0,0,0.0758593051424871
0,0,0.0181308925340346
0,0,0.074639749293235
1,0,0.0419240912341844
0,0,0.0249718134686304
0,0,0.0958223811722552
1,0,0.112659815427528
0,0,0.0384001397429978
0,0,0.0321760937062277
0,0,0.111547788152258
0,0,0.0511627322154354
0,0,0.0225050451860268
0,0,0.0718181286593496
0,0,0.00893499655137939
0,0,0.0220303469464851
0,0,0.0601162560712816
0,0,0.0629458231184377
0,0,0.0124733676360936
0,0,0.0372326899308729
0,0,0.099967030687948
0,0,0.0677109111728983
0,0,0.043842999332168
0,0,0.0390701255190633
0,0,0.1173889923932
0,0,0.0111853229383338
0,0,0.0289030384583707
0,0,0.116093008940227
0,0,0.0506161842912731
0,0,0.02682491283571
0,0,0.0686282513505132
0,0,0.0481685481017033
0,0,0.0661508681554888
0,0,0.0765232159072801
0,0,0.0350616422030508
0,0,0.0389334132883246
0,0,0.0499867128234608
0,0,0.0334615844571814
0,0,0.0235920337204631
0,0,0.0207380584475447
0,0,0.0554752193156256
0,0,0.0266555310797873
0,0,0.0115822692809084
0,0,0.0808380820421407
0,0,0.0432536569222687
0,0,0.0139619253367022
0,0,0.0261540716206016
1,0,0.0586533610289878
0,0,0.0240667544550044
0,0,0.00858248150383807
0,0,0.0601162560712816
0,0,0.0278005893944164
0,0,0.0376208720324886
1,0,0.0237960578517408
0,0,0.1173889923932
0,0,0.0730609975693817
0,0,0.05230063801997
0,0,0.151128123884022
0,0,0.0415578040723013
0,0,0.0352201259966279
0,0,0.0891618462509189
0,0,0.034285499508733
0,0,0.0405953423517912
0,0,0.0241828576583594
0,0,0.0812335395119569
0,0,0.0863347223591905
0,0,0.0408785896279196
0,0,0.101328947488414
0,0,0.0345331024186268
0,0,0.0772319331007118
1,0,0.0433876760040788
0,0,0.0346260863352736
0,0,0.0429813334926919
0,0,0.0198265921483887
0,0,0.0203887929596527
0,0,0.0452454644042167
1,0,0.0721715619257561
0,0,0.0988036096655008
0,0,0.0268626668664526
0,0,0.0885159864136249
0,0,0.109392609384835
0,0,0.0699357718503209
0,0,0.00742649028498537
0,0,0.0241377031229184
0,0,0.0559301189396215
0,0,0.101536964956278
0,0,0.0289287521540056
0,0,0.0454958002648735
0,0,0.0251796799075108
0,0,0.0304559252880717
0,0,0.0484395537123258
0,0,0.0390202280847152
0,0,0.043844690713876
0,0,0.0521570427655717
0,0,0.0482438879387459
0,0,0.0354419892448335
0,0,0.0917210903306611
0,0,0.0164468320632852
0,0,0.0325290947006966
0,0,0.0386062326093761
0,0,0.0284751907534979
0,0,0.0565314152082201
0,0,0.0417701374038521
0,0,0.0388387906236239
0,0,0.0438250490084793
0,0,0.0758374367075932
0,0,0.0579771825928687
1,0,0.0884481839839904
0,0,0.13506403625499
0,0,0.0656284009513411
0,0,0.0480244648648424
0,0,0.0332285020534719
0,0,0.0432060707198408
0,0,0.0661505472411917
0,0,0.0750573387651387
0,0,0.05073547772955
0,0,0.0806138204599733
0,0,0.144583455137821
0,0,0.0474740716755822
0,0,0.0200938668420391
0,0,0.0571689442881536
0,0,0.0687436989754196
0,0,0.0779110115638934
0,0,0.0306188326395895
0,0,0.0181689999639613
1,0,0.060320851480013
0,0,0.0201534780877953
0,0,0.0319173338540762
0,0,0.0298266536561102
0,0,0.168981419818999
0,0,0.00405948729212036
0,0,0.0422013680455276
0,0,0.0413427654761766
0,0,0.110344679062123
0,0,0.0467405432126401
0,0,0.0479970523063497
1,0,0.0740694711316559
0,0,0.070491390570649
0,0,0.0976167743778722
0,0,0.170849856172723
0,0,0.0264601804936422
0,0,0.0408100290977798
0,0,0.025001424715002
0,0,0.0330460544036833
0,0,0.0383066952491107
0,0,0.0573859416016915
0,0,0.0968975264942096
0,0,0.0476792605370855
0,0,0.0396129764943638
0,0,0.0502746833323491
0,0,0.0685265376147001
0,0,0.0322738263004869
0,0,0.0571703500328504
0,0,0.0785181086970829
0,0,0.0843668939952828
0,0,0.0240006854840149
0,0,0.0887489757035207
0,0,0.142254902030546
0,0,0.010903328768222
0,0,0.0510276574585669
0,0,0.0652549646905943
0,0,0.0946353395501724
0,0,0.0568308147505928
0,0,0.0634859203432283
0,0,0.0741316160933301
0,0,0.0498683917600465
0,0,0.0777402687168523
0,0,0.0950883223140546
1,0,0.0610617220096747
1,0,0.0767731056680138
0,0,0.0506742406243558
1,0,0.141111060835657
0,0,0.0379595049698356
0,0,0.00993084655053455
0,0,0.00441858117753218
0,0,0.0668585920952738
0,0,0.031811333294308
0,0,0.0727617100259831
0,0,0.0421432525227558
0,0,0.0476488043671659
0,0,0.049764801530921
0,0,0.035498695925265
0,0,0.0670492495054682
0,0,0.00886993840965476
0,0,0.118712129539988
0,0,0.0394642005010344
0,0,0.0202444305572326
0,0,0.0817263248030405
0,0,0.115395165361434
0,0,0.0315205028737077
0,0,0.0226085768780975
0,0,0.0551395351180534
0,0,0.0455946043516338
0,0,0.0688338855731363
0,0,0.0411202182555954
1,0,0.0490184767277767
0,0,0.034438839985472
0,0,0.0365444918096142
0,0,0.0318721540644537
0,0,0.0346208569228551
0,0,0.03454124230613
0,0,0.0205381064472946
0,0,0.0319562110888842
0,0,0.0623036071794636
0,0,0.07252301286531
0,0,0.0349520510040952
0,0,0.0415332448892204
0,0,0.0117723608741823
0,0,0.0664535977080515
1,0,0.0780170102617943
0,0,0.0461893196592573
0,0,0.0584981053437324
0,0,0.0873874141622612
0,0,0.0178286861004925
0,0,0.0307609193668982
0,0,0.023900234772824
0,0,0.0216954364155515
0,0,0.0603350856849482
0,0,0.0958560840895388
1,0,0.186397174554817
0,0,0.0510666842969777
0,0,0.0184734941526748
0,0,0.0641348009656929
0,0,0.108881826246287
0,0,0.147512184853402
0,0,0.0472795999948995
1,0,0.118597877036663
0,0,0.0188233812849021
0,0,0.0830184739198888
0,0,0.0432569176096798
0,0,0.0496701504256934
0,0,0.0445412176332656
0,0,0.042429033763353
0,0,0.0474820997549371
0,0,0.039584245909611
1,0,0.0734635005130474
0,0,0.0614968163096884
0,0,0.118597877036663
0,0,0.0604089107160877
0,0,0.0451294746377822
0,0,0.0397380945984697
0,0,0.0211380288708106
0,0,0.031345150210906
0,0,0.031826579630832
0,0,0.028011376642444
1,0,0.027073284576243
0,0,0.0460997639283717
0,0,0.0725048267342067
0,0,0.0491795277124769
0,0,0.0530979058100234
0,0,0.0630648701409416
0,0,0.0616491162626654
0,0,0.060803799576111
0,0,0.0385585976098757
0,0,0.0560194314822954
0,0,0.0327293076053516
0,0,0.0514585060661595
0,0,0.124696532792892
1,0,0.0354083849760606
0,0,0.0434122838959173
1,0,0.102748106285103
0,0,0.0680453408067393
0,0,0.0506256585451542
0,0,0.0721566273905771
0,0,0.0717090871617044
0,0,0.184799713698107
0,0,0.0206787197483179
0,0,0.0526396009128597
0,0,0.0432866770307854
0,0,0.257419824549041
0,0,0.0395607805136024
0,0,0.0376448494584151
0,0,0.0689996503430515
0,0,0.116945324587899
0,0,0.0282348546653719
1,0,0.0223444829651866
0,0,0.0327972667556568
0,0,0.0588275865770068
0,0,0.0411261120518457
0,0,0.0728732474490961
0,0,0.0256170627641663
0,0,0.108464654575028
0,0,0.0357820160728872
0,0,0.0418695720354681
0,0,0.0473500338848791
0,0,0.0390532669734455
0,0,0.071808100161777
0,0,0.0360497031628936
0,0,0.120139178669811
