Movie ,Opening Gross ,Total U.S. Gross ,Total Non-U.S. Gross ,Budget,Opening Theatres,Known Story,Sequel, Origin_United States,Genre,Summer,Holiday,Christmas,MPAA,MPAA_D,Critics´ Opinion,Oscar Nominations,Oscars Won
The Ant Bully,"8,432,465","28,142,535  ","27,038,594","50,000,000","3,050",1,0,1,Animation,0,0,0,PG,0,59,0,0
The Benchwarmers,"19,656,429","59,843,754  ","5,113,537","33,000,000","3,274",0,0,1,Comedy,0,0,0,PG-13,0,25,0,0
The Black Dahlia,"10,005,895","22,545,080  ","26,698,333","50,000,000","2,226",1,0,0,Drama,0,0,0,R,1,49,1,0
The Break-Up,"39,172,785","118,703,275  ","86,259,809","52,000,000","3,070",0,0,1,Comedy,0,0,0,PG-13,0,45,0,0
The Covenant,"8,852,458","23,380,495  ","14,216,976","20,000,000","2,681",0,0,1,Horror,0,0,0,PG-13,0,19,0,0
The Departed,"26,887,467","132,384,315  ","157,463,039","90,000,000","3,017",1,0,1,Drama,0,0,1,R,1,86,5,4
The Devil Wears Prada,"27,537,244","124,740,460  ","201,568,618","35,000,000","2,847",1,0,1,Comedy,0,0,0,PG-13,0,62,2,0
The Grudge 2,"20,825,300","39,143,839  ","31,567,336","20,000,000","3,211",0,1,0,Horror,1,0,0,PG-13,0,33,0,0
The Holiday,"12,778,913","63,224,849  ","141,910,326","85,000,000","2,610",0,0,1,Comedy,1,1,0,PG-13,0,52,0,0
The Lake House,"13,616,196","52,330,111  ","62,500,000","40,000,000","2,645",1,0,1,Drama,1,0,0,PG,0,52,0,0
The Nativity Story,"7,849,304","37,629,831  ","8,799,560","35,000,000","3,083",1,0,1,Drama,0,0,0,PG,0,52,0,0
The Omen (2006),"16,026,496","54,607,383  ","64,891,526","25,000,000","2,723",1,0,1,Horror,0,0,0,R,1,43,0,0
The Pink Panther,"20,220,412","82,226,474  ","76,624,883","80,000,000","3,477",1,1,1,Comedy,0,0,0,PG,0,38,0,0
The Prestige,"14,801,808","53,089,891  ","56,586,420","40,000,000","2,281",1,0,1,Drama,0,0,0,PG-13,0,66,2,0
The Pursuit of Happyness,"26,541,709","163,566,459  ","143,373,994","55,000,000","2,852",0,0,1,Drama,1,0,0,PG-13,0,64,1,0
The Sentinel,"14,367,854","36,280,697  ","41,639,649","60,000,000","2,819",1,0,1,Action ,1,0,0,PG-13,0,48,0,0
The Shaggy Dog,"16,310,058","61,123,569  ","26,010,711","60,000,000","3,501",1,0,1,Comedy,0,0,0,PG,0,43,0,0
The Wicker Man,"9,610,204","23,649,127  ","15,064,046","40,000,000","2,784",1,0,1,Thriller,1,0,0,PG-13,0,36,0,0
The Wild,"9,684,809","37,384,046  ","64,954,469","80,000,000","2,854",0,0,1,Animation,0,0,1,G,0,47,0,0
Ultraviolet,"9,064,880","18,535,812  ","12,534,399","30,000,000","2,558",0,0,1,Action,0,0,1,PG-13,0,18,0,0
Unaccompanied Minors,"5,815,474","16,655,224  ","5,293,990","25,000,000","2,775",0,0,1,Comedy,1,0,0,PG,0,43,0,0
Underworld: Evolution,"26,857,181","62,318,875  ","49,021,926","45,000,000","3,207",0,1,1,Horror,0,0,0,R,1,36,0,0
V for Vendetta,"25,642,340","70,511,035  ","62,000,000","54,000,000","3,365",1,0,0,Action ,0,0,0,R,1,62,0,0
World Trade Center,"18,730,762","70,278,893  ","92,691,347","65,000,000","2,957",0,0,1,Drama,0,0,0,PG-13,0,66,0,0
"You, Me and Dupree","21,525,560","75,628,110  ","54,731,328","54,000,000","3,131",0,0,1,Comedy,0,0,0,PG-13,0,46,0,0
