"Variable","Media","Mediana","SD","Min","Max"
"1632",1043.06153846154,835,638.921329197771,383,3726
"1509",981.2,789,622.421787255234,366,3617
"3328",2155.46153846154,1904,825.053048993728,793,5291
"2.04",2.26184615384615,2.24,0.414848964638383,1.42,3.18
"71",75,76,22.7011838898327,28,120
"0.72670000000000001",0.670653846153846,0.6571,0.0842050846091758,0.5352,0.8578
"0.88539999999999996",0.86842,0.8692,0.0367654992826155,0.7851,0.9479
